fold,seed,multiplier,mae_horizon1,n_horizon1,mae_horizon_gt1,n_horizon_gt1
1,42,0.5,0.36029570891612717,312195,0.5456245554018322,46892
1,43,0.714,0.3613832319770831,312195,0.407733003288724,46892
1,44,0.929,0.3603531744466675,312195,0.414586345608437,46892
1,45,1.143,0.3572485471152841,312195,0.4044341329343935,46892
1,46,1.357,0.36299864618730676,312195,0.3995389725393381,46892
1,47,1.571,0.35620600114785733,312195,0.4464174514720981,46892
1,48,1.786,0.35823596623844456,312195,0.40238545601499126,46892
1,49,2.0,0.3646217194224035,312195,0.41730055210877026,46892
2,42,0.5,0.33766675125291196,359175,,0
2,43,0.714,0.33901640299691205,359175,,0
2,44,0.929,0.33864172369568485,359175,,0
2,45,1.143,0.33838766755791555,359175,,0
2,46,1.357,0.33840725734611327,359175,,0
2,47,1.571,0.3394883540129953,359175,,0
2,48,1.786,0.3387183150749593,359175,,0
2,49,2.0,0.3394172003370356,359175,,0
3,42,0.5,0.34332027590272385,358833,,0
3,43,0.714,0.34360738145485775,358833,,0
3,44,0.929,0.3434447289922014,358833,,0
3,45,1.143,0.3434944431501824,358833,,0
3,46,1.357,0.3435257353312872,358833,,0
3,47,1.571,0.3438047823797795,358833,,0
3,48,1.786,0.3444467770698431,358833,,0
3,49,2.0,0.3442045074295681,358833,,0
4,42,0.5,0.362081432928991,249513,0.4747281773416179,109299
4,43,0.714,0.3626044920339607,249513,0.5089148835540822,109299
4,44,0.929,0.36313064722644556,249513,0.457014719824855,109299
4,45,1.143,0.36271921814690283,249513,0.48307314375379684,109299
4,46,1.357,0.3627235169393211,249513,0.4545786965560527,109299
4,47,1.571,0.36336905966331395,249513,0.45015082994713324,109299
4,48,1.786,0.36347600078333286,249513,0.45947653869032906,109299
4,49,2.0,0.36362048879894726,249513,0.4473008090486407,109299
5,42,0.5,0.4292202807964794,202818,0.4918951980079993,156289
5,43,0.714,0.4282024107457333,202818,0.5020859473351919,156289
5,44,0.929,0.4303308665045266,202818,0.4902531666461982,156289
5,45,1.143,0.43199184802183815,202818,0.4819267324529714,156289
5,46,1.357,0.4295247047795451,202818,0.48498765190203263,156289
5,47,1.571,0.4288635480921696,202818,0.48898767061511234,156289
5,48,1.786,0.4303053960520951,202818,0.4836097700773212,156289
5,49,2.0,0.4276517687864756,202818,0.48932325696144535,156289
