n_models,mae_mean,mae_std,rmse_mean,r2_mean,seconds_mean
1,0.383772817809859,0.04897218008256497,0.5232174547097047,0.6230449752686074,26.983961979998277
2,0.37247837225721875,0.03882942439328429,0.5074451876446049,0.6469659871146332,52.589711279957555
3,0.37165238995443495,0.038916325189990345,0.5065146439052504,0.6480010378135953,79.69471717998385
4,0.3701295026374817,0.03769324810565317,0.5043826702739291,0.6512670920452104,105.73770024001132
5,0.3698645886925638,0.03758435543161638,0.5041261327366314,0.6515811437599878,131.8976655400358
6,0.36878839666928054,0.03572683729526697,0.502874997595261,0.6537475865277299,157.08869482004084
7,0.3687047378984965,0.03626866806442613,0.5027115259615579,0.6537738570127104,182.38458474001382
8,0.3683191808387473,0.035655008306252886,0.5024081878468312,0.6543145180099035,207.65855101998895
9,0.3685568931997977,0.03662708983013506,0.5023851458602366,0.6542008560691255,233.9813269799808
10,0.3690945593370531,0.03700749085928499,0.5029303161851735,0.6534288633195573,259.6640407399973
11,0.3693986388356756,0.037187947215820465,0.5033530643091253,0.6528650586595373,286.5103011399973
12,0.36896797541911003,0.03677541353889373,0.5027471040199825,0.653775753110379,313.95063724000937
13,0.3691528036588255,0.03684970372419296,0.5029006792076023,0.653622299815763,340.4114961999934
14,0.36908429624044137,0.03695241557379974,0.5027378151498321,0.6538737920464123,365.6258089199895
15,0.3688536842005814,0.03666132851648576,0.5025308610215691,0.654191493835753,391.2406503399834
