config,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
arbres_peu_profonds,0.05,300,4,50,1.0,0.3838810316142253,0.04424831784669682,0.5238491356627598,0.06217264595101389,0.6218724875465476,0.12221814310755671
lr_bas_plus_iter,0.03,500,8,50,1.0,0.38548733853853745,0.04475951301788914,0.5258117668045337,0.0623913934357198,0.6194103486757054,0.12050358317755873
arbres_profonds,0.05,300,12,50,1.0,0.3857640857696372,0.04496908532243442,0.526423135336171,0.06266275383629917,0.6185238376359881,0.12092343945025402
feuilles_fines,0.05,300,8,20,1.0,0.3857662128404061,0.04485880335180583,0.5261456941546544,0.062494112069129026,0.6189644129407602,0.12085239484208106
l2_fort,0.05,300,8,50,5.0,0.38585213018790865,0.04495865521061054,0.5262597732994516,0.06276573820549901,0.6187388427630913,0.12109755163322783
defaut_actuel,0.05,300,8,50,1.0,0.3858900462144354,0.045020351345053146,0.526374720531505,0.0626575642841617,0.6186084629173457,0.12099617008816282
l2_nul,0.05,300,8,50,0.0,0.38611653064226026,0.04510598588558236,0.5266746858340631,0.06277498633334613,0.6182020080989205,0.12084777902795994
feuilles_larges,0.05,300,8,100,1.0,0.3863457088207319,0.04523737750616573,0.5269421092548567,0.06293453264996236,0.6177704059210529,0.12113382970810073
lr_haut_peu_iter,0.1,150,8,50,1.0,0.38661741057334614,0.04472593261515496,0.527157811261931,0.062403849510932884,0.6176041274429813,0.12051777022119262
profond_regularise,0.05,300,10,100,2.0,0.38682762941203885,0.045694796312372256,0.5274568755312599,0.06362594685398812,0.6168961514275295,0.12207078604882343
