feature,mae_degradation
last_observed_tws,0.12201487647302453
TWS_t,0.04130491225276477
TWS_t_rollmean3,0.03884753662723094
SPEI_06_t,0.03198887075519971
SPEI_12_t,0.022733399750120637
TWS_t_rollmean6,0.012326441937744027
SPEI_12_t_lag1,0.009215591051254936
TWS_t_rollmean12,0.003204363629484839
SPEI_06_t_lag1,0.0028861693543055346
TWS_t_lag1,0.0017767699605135624
TWS_t_lag3,0.0017712830753619715
SOIL_MOISTURE_t,0.001767454913156552
month_cos,0.0013263039679273312
TWS_t_lag6,0.0012937673977440412
TWS_t_climatology_mean,0.0011688654593168546
TWS_neighbor_E_last_observed,0.0007417743566169134
SPEI_03_t_lag1,0.0006067864036591253
SPEI_01_t,0.0005742915830358952
TWS_neighbor_S_last_observed,0.0005587010176115513
TWS_neighbor_N_last_observed,0.00042467630668544307
SPEI_03_t_lag3,0.0003928221366447238
SPEI_03_t,0.00036450872305437314
SPEI_06_t_lag3,0.0003535184171824657
TWS_neighbor_W_last_observed,0.0003279315154347828
TWS_t_lag12,0.00027654773739030244
SPEI_12_t_lag3,0.00022396740093223676
TWS_t_seasonal_anomaly,0.0001529927882798732
SOIL_MOISTURE_t_lag1,0.00012365084399194038
TWS_t_diff1,4.90770560211562e-05
SPEI_01_t_lag1,3.164852288048969e-05
SOIL_MOISTURE_t_lag3,8.230629485530546e-06
SPEI_01_t_lag3,-3.297395736162834e-05
TWS_neighbor_E_months_since_last_observed,-3.6096407223447096e-05
TWS_t_diff12,-0.00015465378735739498
target_month_cos,-0.000228386503587823
target_month_sin,-0.0003121232717613109
TWS_neighbor_N_months_since_last_observed,-0.0003929621388045534
months_since_last_observed_tws,-0.00048119899012300627
month_sin,-0.0006948645060825798
TWS_neighbor_W_months_since_last_observed,-0.001707129987897822
TWS_neighbor_S_months_since_last_observed,-0.0018569010584756729
